Wall time,Step,Value
1701151572.9077528,0,78.14103698730469
1701151628.6264784,250,3.636662483215332
1701151684.272639,500,1.5993592739105225
1701151739.86872,750,0.9920880794525146
1701151795.4682512,1000,0.7811130881309509
1701151852.1875148,1250,0.5657124519348145
1701151907.3366063,1500,0.6584324836730957
1701151962.887866,1750,0.53898686170578
1701152018.5838685,2000,0.3554255962371826
1701152074.1167662,2250,0.36020493507385254
1701152129.9714634,2500,0.32675522565841675
1701152186.801329,2750,0.3131314516067505
1701152242.387962,3000,0.28029322624206543
1701152298.1377952,3250,0.19048860669136047
1701152354.1666574,3500,0.18781474232673645
1701152410.23761,3750,0.14125284552574158
1701152465.8254864,4000,0.13486695289611816
1701152522.7882621,4250,0.12292753159999847
1701152578.2254891,4500,0.10308216512203217
1701152634.350944,4750,0.08779870718717575
1701152690.1986017,5000,0.07293415069580078
1701152745.8451483,5250,0.07849259674549103
1701152802.4764712,5500,0.06221654266119003
1701152858.8197072,5750,0.0646226704120636
1701152913.9131594,6000,0.06039464473724365
1701152969.5903273,6250,0.05560046806931496
1701153025.616116,6500,0.03864622116088867
1701153080.521621,6750,0.037642836570739746
1701153135.9762008,7000,0.03626466542482376
1701153191.8496203,7250,0.02834775298833847
1701153247.7391346,7500,0.02728254348039627
1701153303.0442066,7750,0.02502187341451645
1701153358.7032003,8000,0.022308524698019028
1701153414.0492241,8250,0.021585555747151375
1701153469.3762567,8500,0.024196885526180267
1701153525.595738,8750,0.024082954972982407
1701153580.5955374,9000,0.01573522761464119
1701153635.905479,9250,0.017455974593758583
1701153691.0977979,9500,0.03683584928512573
1701153746.39427,9750,0.033397525548934937
1701153801.6467977,10000,0.028884418308734894
1701153856.9531853,10250,0.025977279990911484
1701153913.2384253,10500,0.009705716744065285
1701153968.2540035,10750,0.025482285767793655
1701154023.333716,11000,0.007785789668560028
1701154078.9823666,11250,0.012243729084730148
1701154134.0053136,11500,0.021834898740053177
1701154190.155848,11750,0.01775553822517395
1701154245.1759222,12000,0.009167774580419064
1701154300.8468904,12250,0.006543776020407677
1701154356.705129,12500,0.013619352132081985
1701154412.3206987,12750,0.006422060541808605
1701154468.7165973,13000,0.0071059223264455795
1701154523.8458238,13250,0.004216264933347702
1701154580.0516243,13500,0.011848281137645245
1701154968.6601248,13750,0.007730136625468731
1701155025.3558176,14000,0.005027242470532656
1701155080.7268674,14250,0.0037259571254253387
1701155136.838954,14500,0.0037909115198999643
1701155192.6694932,14750,0.0032281335443258286
1701155253.4646573,15000,0.0035604715812951326
1701155312.2956762,15250,0.005413312464952469
1701155369.7627573,15500,0.007189450319856405
1701155425.3766963,15750,0.01271753665059805
1701155481.224302,16000,0.004435911308974028
1701155537.1105843,16250,0.00314477551728487
1701155593.6711862,16500,0.003075612476095557
1701155649.1208994,16750,0.004942482803016901
1701155705.6029458,17000,0.002402606885880232
1701155760.9279823,17250,0.002729851985350251
1701155816.9838412,17500,0.003592181019484997
1701155873.7750993,17750,0.002884303918108344
1701155929.6294508,18000,0.0036518187262117863
1701155985.745851,18250,0.0022219400852918625
1701156041.4376576,18500,0.0032576529774814844
1701156098.2332902,18750,0.003241643076762557
1701156152.952657,19000,0.017841801047325134
1701156208.3589044,19250,0.008653135970234871
1701156264.206806,19500,0.007088495418429375
1701156319.207356,19750,0.0060376962646842
1701156374.5750587,20000,0.005630125757306814
1701156430.2790763,20250,0.004668049048632383
1701156485.8985815,20500,0.00480611901730299
1701156541.514896,20750,0.007433362305164337
1701156597.172347,21000,0.003242925740778446
1701156652.2418594,21250,0.0030468213371932507
1701156707.5523422,21500,0.007085034158080816
1701156763.1757886,21750,0.0024823141284286976
1701156818.791427,22000,0.003948621451854706
1701156875.2263062,22250,0.004628597758710384
1701156930.2772827,22500,0.003564346581697464
1701156985.4938624,22750,0.003585059894248843
1701157041.3294845,23000,0.0016086355317384005
1701157096.921637,23250,0.0013654038775712252
1701157152.365508,23500,0.007944263517856598
1701157207.957469,23750,0.0024083340540528297
1701157264.3774104,24000,0.0014067133888602257
1701157319.3276696,24250,0.0015025902539491653
1701157374.9547744,24500,0.0014564178418368101
1701157431.6003082,24750,0.001624206081032753
1701157487.7858522,25000,0.0009505346533842385
1701157543.057276,25250,0.0008437266806140542
1701157599.693078,25500,0.0008811651496216655
1701157654.765188,25750,0.0023261490277945995
1701157710.6349866,26000,0.0008776519680395722
1701157766.860752,26250,0.0014281300827860832
1701157823.376118,26500,0.0007396852015517652
1701157878.7430267,26750,0.0022008968517184258
1701157934.7039366,27000,0.009269035421311855
1701157991.4384341,27250,0.0011663400800898671
1701158380.1852293,27500,0.0009278133511543274
1701158436.1647434,27750,0.0018230562563985586
1701158492.0975883,28000,0.0007714891107752919
1701158548.052613,28250,0.0005251695401966572
1701158604.0641959,28500,0.001940517919138074
1701158660.915062,28750,0.0007100246148183942
1701158716.3184772,29000,0.0011699245078489184
1701158772.9162471,29250,0.0004907717229798436
1701158828.2564063,29500,0.000539064290933311
1701158884.2236454,29750,0.0005319767515175045
1701158940.1582203,30000,0.0013554136967286468
1701158996.044027,30250,0.0011867876164615154
1701159051.954571,30500,0.0006503317854367197
1701159108.2053504,30750,0.00047860073391348124
1701159165.1314282,31000,0.0006251920131035149
1701159222.107112,31250,0.0003689455916173756
1701159279.2831433,31500,0.000448657781817019
1701159334.9892843,31750,0.0005990768549963832
1701159391.726632,32000,0.0005319746560417116
1701159447.0843196,32250,0.001715233433060348
1701159503.993968,32500,0.00035950978053733706
1701159559.3852878,32750,0.0005478034727275372
1701159615.5328555,33000,0.0008456783252768219
1701159671.786893,33250,0.0012183760991320014
1701159728.4083238,33500,0.0016154514160007238
1701159784.6157289,33750,0.002289007417857647
1701159840.2170596,34000,0.001782610546797514
1701159896.217387,34250,0.0006782686104997993
1701159952.746838,34500,0.0005814388860017061
1701160008.2982736,34750,0.008405419997870922
1701160065.1771069,35000,0.0037959637120366096
1701160120.7365897,35250,0.0034894600976258516
1701160176.9113958,35500,0.0021333396434783936
1701160232.6255493,35750,0.002675185678526759
1701160288.7248588,36000,0.0015128320083022118
1701160345.7382095,36250,0.0010701314313337207
1701160402.099433,36500,0.0016959387576207519
1701160457.6442087,36750,0.0020181082654744387
1701160514.383354,37000,0.0015466661425307393
1701160569.6765757,37250,0.0008755874587222934
1701160626.5990336,37500,0.0005964073352515697
1701160683.1968288,37750,0.001074321335181594
1701160738.6191998,38000,0.0012322362745180726
